acceptance_area	category	gate	owner_artifact	default_command	opt_in_gate	network	file_io	server	token_policy	acceptance
source_drift	upstream_contract	G0	scripts/check_upstream_contract.sh	scripts/check_upstream_contract.sh --hard-fail	none	no	no	no	no-token	Pinned upstream head, tag, source counts, wrapper counts, docs headings, and classified parity rows stay stable.
source_drift	source_trace	G9	scripts/check_source_trace_matrix.sh	scripts/check_source_trace_matrix.sh	none	no	no	no	no-token	Source evidence covers every pinned upstream runtime and test file with a mapped port artifact.
source_drift	root_package_surface	GAP-12.4	scripts/check_root_public_surface.sh;scripts/check_platform_gates.sh	scripts/check_root_public_surface.sh; scripts/check_platform_gates.sh	none	no	no	no	no-token	Root imports, platform exports, package metadata, and Cangjie package entry stay aligned with the manifest.
source_drift	public_docs	G8	scripts/check_public_docs.sh	scripts/check_public_docs.sh	none	no	no	no	no-token	Public docs do not expose local paths, private workspace names, local SDK paths, or internal command aliases.
semantic_parity	default_build_test	G10	cjpm;cjpm.toml	cjpm clean && cjpm build -i && cjpm test	none	no	no	no	no-token	Default build and test cover hermetic platform, payload, API, bot, webhook, session, docs, and root package smoke tests.
semantic_parity	platform_fake_matrix	GAP-12.1..GAP-12.3	src/platform/platform_test.cj	cjpm test	none	no	no	no	no-token	Deno, Node, Web, and native platform facades expose adapter, baseFetchConfig, debug, and itrToStream behavior without sockets or real files.
semantic_parity	optional_integration_plan	GAP-12.5	scripts/check_optional_integration_plan.sh	scripts/check_optional_integration_plan.sh	GRAMMY4CJ_OPTIONAL_INTEGRATION=1	no	no	no	no-token	Optional real adapter rows are documented and default-skipped unless explicit opt-in environment gates are set.
semantic_parity	package_entry_smoke	GAP-12.4	src/mod_test.cj	cjpm test	none	no	no	no	no-token	Root import smoke tests can construct public Bot, Context, builders, session, platform, and expert core symbols.
formal_substitute_debt	substitute_status	GAP-12.5	scripts/check_formal_substitute_ledger.sh	scripts/check_formal_substitute_ledger.sh	none	no	no	no	no-token	Every formal substitute row has status open, test-only, language-boundary, or removed.
formal_substitute_debt	language_boundary	GAP-12.4	src/architecture/formal_substitute_ledger.tsv	scripts/check_formal_substitute_ledger.sh	none	no	no	no	no-token	TypeScript conditional exports and type-only surface are tracked as Cangjie language or package-model boundaries instead of being reported as completed one-to-one runtime behavior.
