kind	upstream_path	upstream_anchor	public_surface	functions_classes	control_flow_anchors	error_branch_anchors	grammY4cj_modules	gap	phase	test_files	current_anchor	test_anchor	coverage_notes
runtime	src/README.md	grammY/src/README.md:1	module docs and source map	README module example	grammY/src/README.md:17 bot construction example	n/a docs-only	src/README.md;src/mod_test.cj	GAP-12	GAP-12.4	src/mod_test.cj	grammY4cj/src/README.md:1	grammY4cj/src/mod_test.cj:1	source docs tracked with root package surface.
runtime	src/bot.ts	grammY/src/bot.ts:156	Bot, BotConfig, PollingOptions, ErrorHandler, DEFAULT_UPDATE_TYPES	Bot class; withRetries; sleep; validateAllowedUpdates	grammY/src/bot.ts:303 init; grammY/src/bot.ts:329 handleUpdates; grammY/src/bot.ts:425 start; grammY/src/bot.ts:541 polling loop	grammY/src/bot.ts:229 token validation; grammY/src/bot.ts:745 noUseFunction	src/bot/bot.cj;src/bot/internal_runtime.cj	GAP-09	GAP-09.1..GAP-09.5	src/bot/bot_test.cj	grammY4cj/src/bot/bot.cj:174	grammY4cj/src/bot/bot_test.cj:48	Bot lifecycle, polling, init, update API, and webhook envelope evidence.
runtime	src/composer.ts	grammY/src/composer.ts:188	Composer, BotError, Middleware, MiddlewareFn, NextFunction	flatten; concat; Composer class controls	grammY/src/composer.ts:143 concat next guard; grammY/src/composer.ts:753 fork; grammY/src/composer.ts:780 lazy	grammY/src/composer.ts:107 BotError; grammY/src/composer.ts:148 next called twice	src/composer/composer.cj	GAP-08	GAP-08.1..GAP-08.5	src/composer/composer_test.cj;src/composer/composer_type_test.cj	grammY4cj/src/composer/composer.cj:41	grammY4cj/src/composer/composer_test.cj:1	Composer MaybePromise, controls, fork/lazy/route/errorBoundary evidence.
runtime	src/context.ts	grammY/src/context.ts:389	Context, MaybeArray, narrowed Context type aliases	Context class; checker; orThrow; triggerFn; match	grammY/src/context.ts:176 StaticHas; grammY/src/context.ts:416 update shortcuts; grammY/src/context.ts:520 aggregation shortcuts	grammY/src/context.ts:4245 orThrow missing API information	src/context/context.cj	GAP-06	GAP-06.1..GAP-06.5	src/context/context_test.cj;src/context/context_type_test.cj	grammY4cj/src/context/context.cj:167	grammY4cj/src/context/context_test.cj:1	Context getter, trigger, match, and API shortcut evidence.
runtime	src/convenience/constants.ts	grammY/src/convenience/constants.ts:32	ApiConstants and API_CONSTANTS	ALL_UPDATE_TYPES; ALL_CHAT_PERMISSIONS; API_CONSTANTS	grammY/src/convenience/constants.ts:4 update type list; grammY/src/convenience/constants.ts:10 permission map	n/a constants-only	src/convenience/constants.cj	GAP-12	GAP-12.5	src/convenience/constants_test.cj	grammY4cj/src/convenience/constants.cj:5	grammY4cj/src/convenience/constants_test.cj:1	Bot API version, types version, update type, and permission drift evidence.
runtime	src/convenience/frameworks.ts	grammY/src/convenience/frameworks.ts:25	ReqResHandler, FrameworkAdapter, 21 adapter types, adapters registry	awsLambda; azure; bun; cloudflare; express; fastify; hono; http; koa; oak; stdHttp; adapters	grammY/src/convenience/frameworks.ts:260 adapter implementations; grammY/src/convenience/frameworks.ts:638 registry	grammY/src/convenience/frameworks.ts:5 wrong token error; malformed body branches per adapter	src/convenience/frameworks.cj	GAP-10	GAP-10.1..GAP-10.2	src/convenience/frameworks_test.cj;src/convenience/webhook_test.cj	grammY4cj/src/convenience/frameworks.cj:667	grammY4cj/src/convenience/frameworks_test.cj:49	Framework public shape and adapter count evidence.
runtime	src/convenience/inline_query.ts	grammY/src/convenience/inline_query.ts:160	InlineQueryResultBuilder	inputMessage; inputMessageMethods; InlineQueryResultBuilder methods	grammY/src/convenience/inline_query.ts:160 builder object; grammY/src/convenience/inline_query.ts:1 typed result imports	n/a builder object	src/convenience/inline_query.cj	GAP-01	GAP-01.5	src/convenience/inline_query_test.cj	grammY4cj/src/convenience/inline_query.cj:5	grammY4cj/src/convenience/inline_query_test.cj:64	Typed inline query builder evidence.
runtime	src/convenience/input_media.ts	grammY/src/convenience/input_media.ts:39	InputMediaBuilder	InputMediaBuilder photo, video, animation, audio, document	grammY/src/convenience/input_media.ts:47 photo; grammY/src/convenience/input_media.ts:60 video; grammY/src/convenience/input_media.ts:104 document	n/a builder object	src/convenience/input_media.cj	GAP-01	GAP-01.5	src/convenience/input_media_test.cj	grammY4cj/src/convenience/input_media.cj:5	grammY4cj/src/convenience/input_media_test.cj:7	Typed input media builder and InputFile field evidence.
runtime	src/convenience/keyboard.ts	grammY/src/convenience/keyboard.ts:55	Keyboard and InlineKeyboard	Keyboard class; InlineKeyboard class; transpose; reflow	grammY/src/convenience/keyboard.ts:55 Keyboard; grammY/src/convenience/keyboard.ts:696 InlineKeyboard; grammY/src/convenience/keyboard.ts:1287 transpose	n/a builder object	src/convenience/keyboard.cj	GAP-01	GAP-01.5	src/convenience/keyboard_test.cj	grammY4cj/src/convenience/keyboard.cj:5	grammY4cj/src/convenience/keyboard_test.cj:1	Keyboard typed button and layout builder evidence.
runtime	src/convenience/session.ts	grammY/src/convenience/session.ts:19	SessionFlavor, LazySessionFlavor, StorageAdapter, SessionOptions, MemorySessionStorage	session; lazySession; enhanceStorage; PropertySession	grammY/src/convenience/session.ts:221 session strict dispatch; grammY/src/convenience/session.ts:246 multi session; grammY/src/convenience/session.ts:334 PropertySession	grammY/src/convenience/session.ts:242 no catch writeback skip; grammY/src/convenience/session.ts:466 undefined key error	src/convenience/session.cj	GAP-11	GAP-11.1..GAP-11.5	src/convenience/session_test.cj	grammY4cj/src/convenience/session.cj:65	grammY4cj/src/convenience/session_test.cj:1	Session storage, property, lazy, and multi-session evidence.
runtime	src/convenience/webhook.ts	grammY/src/convenience/webhook.ts:76	WebhookOptions and webhookCallback overloads	compareSecretToken; webhookCallback; timeoutIfNecessary	grammY/src/convenience/webhook.ts:143 running/start protection; grammY/src/convenience/webhook.ts:165 request handler; grammY/src/convenience/webhook.ts:193 timeout race	grammY/src/convenience/webhook.ts:143 already running; grammY/src/convenience/webhook.ts:149 start after webhook; grammY/src/convenience/webhook.ts:172 unauthorized	src/convenience/webhook.cj	GAP-10	GAP-10.3..GAP-10.5	src/convenience/webhook_test.cj	grammY4cj/src/convenience/webhook.cj:212	grammY4cj/src/convenience/webhook_test.cj:1	Webhook secret, timeout, reply envelope, and start-protection evidence.
runtime	src/core/api.ts	grammY/src/core/api.ts:62	Api and Other type	Api class 180 wrapper methods	grammY/src/core/api.ts:138 wrapper delegation; grammY/src/core/api.ts:79 config namespace	n/a wrapper declarations	src/core/api.cj;src/core/api_wrapper_table.cj	GAP-05	GAP-05.1..GAP-05.5	src/core/api_test.cj	grammY4cj/src/core/api.cj:336	grammY4cj/src/core/api_test.cj:1	API wrapper count, raw variants, payload/result mapping evidence.
