phase	phase_group	status	evidence	next_action
P0.1	P0	passed	baseline_head_tag_and_counts_scripted	keep
P0.2	P0	passed	source_trace_covers_25_runtime_files	monitor_source_trace_drift
P0.3	P0	passed	sync_groups_cover_runtime_core_convenience_platform_types_tests_docs	monitor_sync_group_drift
P0.4	P0	passed	api_context_composer_test_counts_fixed_by_script	monitor_test_count_drift
P0.5	P0	passed	18_upstream_test_files_in_trace_matrix	monitor_test_trace_drift
P1.1	P1	passed	cjpm_package_and_test_entry_exist	monitor_package_drift
P1.2	P1	passed	layer_one_directories_exist	monitor_layout_drift
P1.3	P1	passed	root_module_exports_current_gate_surface	monitor_root_export_drift
P1.4	P1	passed	fake_http_api_update_clock_logger_storage_stream_exist	keep_no_real_side_effects
P1.5	P1	passed	dependency_boundary_manifest_and_script_pass	monitor_dependency_boundary_drift
P2.1	P2	passed	telegram_object_subset_current_gate_tests_pass	monitor_type_drift
P2.2	P2	passed	grammy_http_error_fields_and_redaction_tests_pass	monitor_error_contract_drift
P2.3	P2	passed	logger_redaction_and_sensitive_log_modes_pass	monitor_log_contract_drift
P2.4	P2	passed	cancel_timeout_signal_contracts_pass	monitor_abort_timeout_drift
P2.5	P2	passed	platform_contracts_for_cjnative_deno_node_web_native_pass	monitor_runtime_drift
P2.6	P2	passed	input_file_source_raw_and_single_use_contracts_pass	monitor_input_file_drift
P3.1	P3	passed	json_serializer_recursive_null_undefined_contracts_pass	monitor_payload_drift
P3.2	P3	passed	form_data_detection_nested_input_file_matrix_pass	monitor_payload_upload_drift
P3.3	P3	passed	multipart_attach_boundary_error_contracts_pass	monitor_multipart_drift
P3.4	P3	passed	api_client_options_fetch_url_config_goldens_pass	monitor_client_config_drift
P3.5	P3	passed	transformer_chain_order_and_copy_contracts_pass	monitor_transformer_drift
P3.6	P3	passed	fake_fetch_success_error_sensitive_log_paths_pass	monitor_fetch_drift
P3.7	P3	passed	timeout_abort_stream_race_contracts_pass	monitor_transport_race_drift
P3.8	P3	passed	webhook_reply_once_json_contracts_pass	monitor_webhook_reply_drift
P3.9	P3	passed	raw_facade_zero_arg_and_unknown_method_contracts_pass	monitor_raw_facade_drift
P3.10	P3	passed	api_wrapper_skeleton_180_methods_traced	monitor_api_surface_drift
P3.11	P3	passed	api_180_method_table_schema_trace_and_return_signal_pass	monitor_api_schema_drift
P4.1	P4	passed	filter_parse_errors_and_layer_limits_pass	monitor_filter_drift
P4.2	P4	passed	filter_cache_query_key_contract_pass	monitor_filter_cache_drift
P4.3	P4	passed	object_matcher_nested_entity_reaction_contracts_pass	monitor_filter_schema_drift
P4.4	P4	passed	middleware_run_concat_onion_contracts_pass	monitor_middleware_drift
P4.5	P4	passed	composer_20_controls_branch_fork_lazy_route_contracts_pass	monitor_composer_control_drift
P4.6	P4	passed	error_boundary_rethrow_and_next_contracts_pass	monitor_boundary_drift
P4.7	P4	passed	context_top_level_getter_priority_matrix_pass	monitor_context_update_drift
P4.8	P4	passed	context_empty_sentinel_orThrow_error_contracts_pass	monitor_context_error_drift
P4.9	P4	passed	context_has_trigger_lifecycle_contracts_pass	monitor_trigger_drift
P4.10	P4	passed_with_formal_substitute	static_instance_probe_compile_surface_pass	monitor_type_surface_drift
P4.11	P4	passed	context_136_api_targets_missing_zero_and_shortcuts_pass	monitor_context_api_drift
P4.12	P4	passed	context_shortcut_target_names_and_payload_goldens_pass	monitor_context_payload_drift
P5.1	P5	passed	bot_constructor_token_context_config_contracts_pass	monitor_bot_constructor_drift
P5.2	P5	passed	init_state_concurrent_retry_contracts_pass	monitor_init_drift
P5.3	P5	passed	handle_update_context_factory_transformer_contracts_pass	monitor_update_drift
P5.4	P5	passed	observed_updates_allowed_update_matrix_pass	monitor_allowed_update_drift
P5.5	P5	passed	polling_loop_retry_abort_contracts_pass	monitor_polling_drift
P5.6	P5	passed	stop_confirm_offset_and_running_state_contracts_pass	monitor_stop_drift
P5.7	P5	passed	bot_error_handler_retry_classification_pass	monitor_error_handler_drift
P5.8	P5	passed	runtime_seam_fake_runtime_contracts_pass	monitor_runtime_seam_drift
P5.9	P5	passed	webhook_options_timeout_modes_pass	monitor_webhook_timeout_drift
P5.10	P5	passed	webhook_reply_envelope_api_client_contracts_pass	monitor_webhook_reply_drift
P5.11	P5	passed	adapter_status_request_response_contracts_pass	monitor_adapter_drift
P5.12	P5	passed	fake_adapter_goldens_and_per_adapter_protocols_pass	monitor_adapter_fixture_drift
P6.1	P6	passed	constants_tests_3_of_3_and_bot_api_diff_pass	monitor_bot_api_drift
P6.2	P6	passed	input_media_tests_5_of_5_pass	monitor_input_media_drift
P6.3	P6	passed	inline_query_tests_97_of_97_pass	monitor_inline_query_drift
P6.4	P6	passed	inline_query_cached_url_input_message_goldens_pass	monitor_inline_query_drift
P6.5	P6	passed	keyboard_builder_button_variant_contracts_pass	monitor_keyboard_drift
P6.6	P6	passed	keyboard_layout_clone_flow_transpose_goldens_pass	monitor_keyboard_layout_drift
P6.7	P6	passed	inline_keyboard_button_variant_goldens_pass	monitor_inline_keyboard_drift
P6.8	P6	passed	inline_keyboard_layout_schema_contracts_pass	monitor_inline_keyboard_layout_drift
P6.9	P6	passed	memory_session_storage_enumeration_readAll_contracts_pass	monitor_session_storage_drift
P6.10	P6	passed_with_formal_substitute	session_context_explicit_api_contracts_pass	monitor_session_context_drift
P6.11	P6	passed	lazy_enhance_migration_and_manual_write_contracts_pass	monitor_lazy_session_drift
P6.12	P6	mostly_passed_release_gap	root_readme_heading_parity_public_docs_clean	finish_release_engineering
