upstream_path	gate	required_checks	docs_impact	note
.all-contributorsrc	G8	README.md;CONTRIBUTING.md	public-docs	contributor metadata can affect generated public documentation
README.md	G8	scripts/check_upstream_contract.sh	public-docs	root README heading and public documentation policy
deno.jsonc	G8	scripts/check_upstream_contract.sh;README.md	release-metadata	Deno task or lint contract changed upstream
package.json	G8	scripts/check_upstream_contract.sh;CONTRIBUTING.md	release-metadata	package identity dependency or release script changed upstream
tsconfig.json	G8	scripts/check_upstream_contract.sh	release-metadata	TypeScript build target or node output contract changed upstream
src/README.md	G8	scripts/check_upstream_contract.sh;src/README.md	source-map	src README heading and source map policy
src/mod.ts	G9.5	src/mod_test.cj;scripts/check_source_trace_matrix.sh	source-map	root export surface changed
src/bot.ts	G5	src/bot/bot_test.cj;scripts/check_source_trace_matrix.sh	none	Bot runtime constructor init polling and update handling changed
src/composer.ts	G4	src/composer/composer_test.cj;scripts/check_upstream_contract.sh	none	Composer control flow or middleware semantics changed
src/context.ts	G4	src/context/context_test.cj;scripts/check_upstream_contract.sh	none	Context getters has probes shortcuts or type helpers changed
src/filter.ts	G4	src/filter/filter_test.cj;scripts/check_source_trace_matrix.sh	none	Filter query parser matcher or shortcuts changed
src/platform.deno.ts	G1	src/platform/platform_test.cj;scripts/check_source_trace_matrix.sh	none	Deno platform fetch stream or adapter changed
src/platform.node.ts	G1	src/platform/platform_test.cj;scripts/check_source_trace_matrix.sh	none	Node platform fetch stream or adapter changed
src/platform.web.ts	G1	src/platform/platform_test.cj;scripts/check_source_trace_matrix.sh	none	Web platform fetch stream or adapter changed
src/shim.node.ts	G1	src/platform/platform_test.cj;scripts/check_source_trace_matrix.sh	none	Node shim contract changed
src/types.deno.ts	G1	src/types/types_test.cj;scripts/check_source_trace_matrix.sh	none	Deno type facade or InputFile raw behavior changed
src/types.node.ts	G1	src/types/types_test.cj;scripts/check_source_trace_matrix.sh	none	Node type facade or InputFile raw behavior changed
src/types.web.ts	G1	src/types/types_test.cj;scripts/check_source_trace_matrix.sh	none	Web type facade or InputFile raw behavior changed
